|------------------------------------------------------------------------------------------|
|                                      WinMTR statistics                                   |
|                       Host              -   %  | Sent | Recv | Best | Avrg | Wrst | Last |
|------------------------------------------------|------|------|------|------|------|------|
|                             192.168.1.1 -    0 |   50 |   50 |    2 |    2 |    4 |    2 |
|                           80.10.232.189 -    0 |   50 |   50 |    3 |    3 |   11 |    3 |
|                          193.253.90.102 -    0 |   50 |   50 |    2 |    3 |    4 |    3 |
|                         193.252.160.118 -    0 |   50 |   50 |    6 |    8 |   18 |    8 |
|                          81.253.180.117 -   20 |   20 |   16 |    0 | 1929 | 4286 | 1133 |
|                      Request timed out. -  100 |   11 |    0 |    0 |    0 |    0 |    0 |
|                         193.251.132.163 -    0 |   50 |   50 |   12 |   15 |   19 |   18 |
|                      Request timed out. -  100 |   10 |    0 |    0 |    0 |    0 |    0 |
|                      Request timed out. -  100 |   10 |    0 |    0 |    0 |    0 |    0 |
|                          62.115.141.235 -    0 |   50 |   50 |   12 |   13 |   22 |   14 |
|                          62.115.116.159 -    0 |   50 |   50 |   95 |   96 |   98 |   97 |
|                          62.115.122.138 -    3 |   49 |   48 |   21 |   21 |   26 |   22 |
|                          62.115.122.159 -    0 |   50 |   50 |   98 |   99 |  122 |  122 |
|                          213.155.136.39 -    0 |   50 |   50 |   98 |   99 |  109 |   98 |
|                           213.248.74.59 -    0 |   50 |   50 |   96 |   96 |  105 |   96 |
|                      Request timed out. -  100 |   10 |    0 |    0 |    0 |    0 |    0 |
|                      Request timed out. -  100 |   10 |    0 |    0 |    0 |    0 |    0 |
|                          192.30.253.112 -    0 |   50 |   50 |   99 |   99 |   99 |   99 |
|________________________________________________|______|______|______|______|______|______|
   WinMTR v1.00 GPLv2 (original by Appnor MSP - Fully Managed Hosting & Cloud Provider)
