D:\>netsh int ipv4 show excludedportrange tcp

Protocole tcp Plages d'exclusion de ports

Port de d‚but    Port de fin      
-------------    -----------      
      1802        1901      
      1902        2001      
      2002        2101      
      2280        2379      
      2380        2479      
      2480        2579      
      2702        2801      
      2802        2901      
      3114        3213      
      3214        3313      
      3314        3413      
      3414        3513      
      3799        3898      
      3899        3998      
      3999        4098      
      5357        5357      
      5700        5700      
      7382        7481      
      7482        7581      
      7607        7706      
      7707        7806      
      7807        7906      
      8884        8884      
     20807       20807      
     28385       28385      
     50000       50059     *

* - Exclusions de ports administr‚s.
